Tweet_ID,Tanggal,Tahun,Bulan,Nama_Bulan,Platform,Provinsi_User,Teks,Sentimen,Likes,Retweet_Share,Replies,Hashtags,Verified_Account,Follower_Category
TW-000060,2024-09-01,2024,9,September,Instagram,Jawa Tengah,Anak stunting berkurang berkat program gizi gratis ini #ProgramGizi #BalitaSehat #AntiStunting,Positif,13,16,9,#ProgramGizi #BalitaSehat #AntiStunting,False,Micro (<1k)
TW-000061,2024-11-01,2024,11,November,Twitter/X,Nusa Tenggara Barat,Proses verifikasi penerima MBG berapa lama? #MakanBergiziGratis #AntiStunting #BalitaSehat,Netral,15,23,14,#MakanBergiziGratis #AntiStunting #BalitaSehat,False,Small (1k-10k)
TW-000062,2024-04-01,2024,4,April,YouTube,Jawa Barat,Program MBG bagus tapi implementasi masih banyak masalah #ProgramPemerintah #GiziAnak #MBG,Negatif,121,27,11,#ProgramPemerintah #GiziAnak #MBG,False,Micro (<1k)
TW-000063,2025-06-01,2025,6,June,YouTube,Nusa Tenggara Barat,MBG adalah program pro-rakyat yang benar-benar dirasakan manfaatnya 💪 #AntiStunting #GiziGratis #IndonesiaSehat,Positif,64,3,8,#AntiStunting #GiziGratis #IndonesiaSehat,False,Medium (10k-100k)
TW-000064,2024-11-01,2024,11,November,Twitter/X,Aceh,MBG adalah program pro-rakyat yang benar-benar dirasakan manfaatnya 💪 #ProgramPemerintah #GiziGratis #MBG,Positif,12,4,10,#ProgramPemerintah #GiziGratis #MBG,False,Micro (<1k)
TW-000065,2025-01-01,2025,1,January,Instagram,Riau,"Posyandu kami ramai berkat MBG, ibu-ibu antusias hadir #AntiStunting #MBG",Positif,15,34,14,#AntiStunting #MBG,False,Small (1k-10k)
TW-000066,2025-03-01,2025,3,March,TikTok,Sumatera Utara,"Salut dengan program MBG, distribusi di desa kami sudah lancar #IndonesiaSehat #BalitaSehat #MBG",Positif,33,45,3,#IndonesiaSehat #BalitaSehat #MBG,True,Micro (<1k)
TW-000067,2025-04-01,2025,4,April,Instagram,Sumatera Selatan,Proses verifikasi penerima MBG berapa lama? #AntiStunting #ProgramPemerintah,Netral,12,24,3,#AntiStunting #ProgramPemerintah,False,Medium (10k-100k)
TW-000068,2024-04-01,2024,4,April,TikTok,Kalimantan Barat,Proses verifikasi penerima MBG berapa lama? #GiziGratis #MakanBergiziGratis,Netral,13,14,1,#GiziGratis #MakanBergiziGratis,False,Micro (<1k)
TW-000069,2025-03-01,2025,3,March,Twitter/X,Papua,Informasi jadwal distribusi MBG di kecamatan? #BalitaSehat #GiziGratis,Netral,43,22,10,#BalitaSehat #GiziGratis,False,Medium (10k-100k)
TW-000070,2025-06-01,2025,6,June,Twitter/X,Riau,MBG adalah program pro-rakyat yang benar-benar dirasakan manfaatnya 💪 #MakanBergiziGratis,Positif,10,15,12,#MakanBergiziGratis,False,Micro (<1k)
TW-000071,2025-01-01,2025,1,January,Instagram,Sulawesi Tengah,Terima kasih pemerintah atas program makan bergizi gratis #AntiStunting #GiziAnak,Positif,3,12,9,#AntiStunting #GiziAnak,False,Micro (<1k)
TW-000072,2024-10-01,2024,10,October,Twitter/X,Jawa Timur,Ada yang tahu syarat penerima manfaat MBG untuk balita? #MakanBergiziGratis,Netral,13,1,2,#MakanBergiziGratis,False,Medium (10k-100k)
TW-000073,2024-10-01,2024,10,October,Facebook,Jawa Barat,"Salut dengan program MBG, distribusi di desa kami sudah lancar #BalitaSehat",Positif,7,8,1,#BalitaSehat,True,Medium (10k-100k)
TW-000074,2025-03-01,2025,3,March,TikTok,Sumatera Utara,Program MBG sangat membantu keluarga kami! Anak-anak lebih sehat 🙏 #MakanBergiziGratis #MBG,Positif,113,31,1,#MakanBergiziGratis #MBG,False,Micro (<1k)
TW-000075,2024-02-01,2024,2,February,Twitter/X,Nusa Tenggara Barat,MBG berdampak positif bagi masyarakat kurang mampu di daerah kami #AntiStunting #GiziAnak #ProgramGizi,Positif,1,2,35,#AntiStunting #GiziAnak #ProgramGizi,False,Large (>100k)
TW-000076,2024-02-01,2024,2,February,TikTok,Jawa Barat,"MBG baru diluncurkan di daerah kami, masih menunggu perkembangan #ProgramPemerintah #MakanBergiziGratis #AntiStunting",Netral,126,20,4,#ProgramPemerintah #MakanBergiziGratis #AntiStunting,False,Micro (<1k)
TW-000077,2024-08-01,2024,8,August,TikTok,DKI Jakarta,"Mantap! Program MBG nyata hasilnya, berat badan balita naik #ProgramGizi #GiziGratis",Positif,5,4,26,#ProgramGizi #GiziGratis,False,Medium (10k-100k)
TW-000078,2025-06-01,2025,6,June,Instagram,Bali,MBG adalah program pro-rakyat yang benar-benar dirasakan manfaatnya 💪 #AnakIndonesia #AntiStunting #ProgramGizi,Positif,84,21,1,#AnakIndonesia #AntiStunting #ProgramGizi,False,Micro (<1k)
TW-000079,2024-02-01,2024,2,February,Twitter/X,Riau,Distribusi MBG di daerah kami sering terlambat dan tidak merata 😤 #GiziGratis #ProgramGizi,Negatif,19,4,8,#GiziGratis #ProgramGizi,True,Small (1k-10k)
TW-000080,2024-07-01,2024,7,July,Facebook,DKI Jakarta,"Kualitas makanan MBG perlu ditingkatkan, tidak selalu bergizi #AntiStunting #ProgramGizi #GiziAnak",Negatif,29,4,11,#AntiStunting #ProgramGizi #GiziAnak,False,Micro (<1k)
TW-000081,2024-04-01,2024,4,April,Instagram,Nusa Tenggara Barat,Bagaimana mekanisme pendaftaran MBG untuk wilayah terpencil? #MBG #ProgramGizi #GiziGratis,Netral,8,21,5,#MBG #ProgramGizi #GiziGratis,True,Large (>100k)
TW-000082,2024-04-01,2024,4,April,Facebook,Bali,Update terbaru pelaksanaan program MBG di Jawa Barat #AntiStunting,Netral,136,7,11,#AntiStunting,False,Small (1k-10k)
TW-000083,2024-11-01,2024,11,November,Facebook,Jawa Barat,"Salut dengan program MBG, distribusi di desa kami sudah lancar #GiziAnak #ProgramGizi #MakanBergiziGratis",Positif,54,7,18,#GiziAnak #ProgramGizi #MakanBergiziGratis,False,Small (1k-10k)
TW-000084,2024-12-01,2024,12,December,Twitter/X,Sulawesi Selatan,Apa saja jenis makanan yang diberikan dalam program MBG? #AnakIndonesia #MakanBergiziGratis #GiziGratis,Netral,23,3,2,#AnakIndonesia #MakanBergiziGratis #GiziGratis,False,Micro (<1k)
TW-000085,2024-04-01,2024,4,April,Twitter/X,Nusa Tenggara Barat,Distribusi MBG di daerah kami sering terlambat dan tidak merata 😤 #MBG,Negatif,3,11,4,#MBG,False,Small (1k-10k)
TW-000086,2024-05-01,2024,5,May,Instagram,Bali,"Gizi anak meningkat sejak ada MBG, anak lebih fokus belajar #AntiStunting",Positif,5,14,15,#AntiStunting,False,Small (1k-10k)
TW-000087,2024-09-01,2024,9,September,YouTube,Papua,Kapan program MBG mulai menjangkau kabupaten kami? #GiziAnak #AnakIndonesia #MBG,Netral,5,39,9,#GiziAnak #AnakIndonesia #MBG,False,Small (1k-10k)
TW-000088,2024-07-01,2024,7,July,Instagram,Nusa Tenggara Barat,"Mantap! Program MBG nyata hasilnya, berat badan balita naik #MBG #IndonesiaSehat #BalitaSehat",Positif,0,6,5,#MBG #IndonesiaSehat #BalitaSehat,False,Medium (10k-100k)
TW-000089,2024-09-01,2024,9,September,Twitter/X,Aceh,Bagaimana mekanisme pendaftaran MBG untuk wilayah terpencil? #BalitaSehat #AnakIndonesia,Netral,143,35,2,#BalitaSehat #AnakIndonesia,False,Medium (10k-100k)
TW-000090,2024-10-01,2024,10,October,Twitter/X,Papua,Informasi jadwal distribusi MBG di kecamatan? #ProgramGizi #ProgramPemerintah,Netral,34,1,10,#ProgramGizi #ProgramPemerintah,False,Medium (10k-100k)
TW-000091,2025-01-01,2025,1,January,Instagram,Sumatera Selatan,Kenapa program MBG belum sampai ke wilayah terpencil kami? #IndonesiaSehat,Negatif,75,5,1,#IndonesiaSehat,False,Small (1k-10k)
TW-000092,2024-07-01,2024,7,July,Twitter/X,DKI Jakarta,Terima kasih pemerintah atas program makan bergizi gratis #AntiStunting #GiziAnak #MakanBergiziGratis,Positif,32,16,3,#AntiStunting #GiziAnak #MakanBergiziGratis,False,Micro (<1k)
TW-000093,2025-02-01,2025,2,February,Facebook,Sulawesi Selatan,MBG berdampak positif bagi masyarakat kurang mampu di daerah kami #GiziGratis #GiziAnak #AnakIndonesia,Positif,200,15,11,#GiziGratis #GiziAnak #AnakIndonesia,False,Medium (10k-100k)
TW-000094,2024-12-01,2024,12,December,Instagram,Papua,"Gizi anak meningkat sejak ada MBG, anak lebih fokus belajar #AntiStunting #MakanBergiziGratis",Positif,114,4,4,#AntiStunting #MakanBergiziGratis,False,Small (1k-10k)
TW-000095,2025-06-01,2025,6,June,Twitter/X,Aceh,Program MBG sangat membantu keluarga kami! Anak-anak lebih sehat 🙏 #MakanBergiziGratis #MBG #ProgramGizi,Positif,49,9,5,#MakanBergiziGratis #MBG #ProgramGizi,False,Micro (<1k)
TW-000096,2024-05-01,2024,5,May,Twitter/X,Riau,"Salut dengan program MBG, distribusi di desa kami sudah lancar #AntiStunting #AnakIndonesia #ProgramGizi",Positif,7,33,4,#AntiStunting #AnakIndonesia #ProgramGizi,False,Small (1k-10k)
TW-000097,2024-03-01,2024,3,March,Facebook,Sumatera Utara,"Jangan hanya proyek, harus ada dampak nyata pengurangan stunting #AntiStunting #MBG #GiziGratis",Negatif,68,2,0,#AntiStunting #MBG #GiziGratis,False,Micro (<1k)
TW-000098,2024-02-01,2024,2,February,Twitter/X,Kalimantan Barat,Anggaran MBG 2025 berapa ya? Ada yang tahu? #MBG #ProgramPemerintah #GiziAnak,Netral,89,3,2,#MBG #ProgramPemerintah #GiziAnak,False,Micro (<1k)
TW-000099,2024-07-01,2024,7,July,Twitter/X,Jawa Barat,"MBG baru diluncurkan di daerah kami, masih menunggu perkembangan #BalitaSehat #GiziGratis #MBG",Netral,30,9,1,#BalitaSehat #GiziGratis #MBG,True,Micro (<1k)
TW-000100,2025-06-01,2025,6,June,Instagram,Jawa Timur,Kapan program MBG mulai menjangkau kabupaten kami? #IndonesiaSehat #GiziAnak #GiziGratis,Netral,120,5,8,#IndonesiaSehat #GiziAnak #GiziGratis,False,Medium (10k-100k)
TW-000101,2024-03-01,2024,3,March,Facebook,Sumatera Selatan,Birokrasi pendaftaran MBG terlalu rumit untuk masyarakat awam #IndonesiaSehat,Negatif,71,30,13,#IndonesiaSehat,False,Micro (<1k)
TW-000102,2024-08-01,2024,8,August,YouTube,Aceh,Program MBG sangat membantu keluarga kami! Anak-anak lebih sehat 🙏 #GiziGratis #GiziAnak #ProgramPemerintah,Positif,11,17,7,#GiziGratis #GiziAnak #ProgramPemerintah,False,Micro (<1k)
TW-000103,2025-02-01,2025,2,February,Twitter/X,Lampung,Program MBG bagus tapi implementasi masih banyak masalah #GiziGratis #MakanBergiziGratis #IndonesiaSehat,Negatif,41,0,1,#GiziGratis #MakanBergiziGratis #IndonesiaSehat,False,Micro (<1k)
TW-000104,2025-05-01,2025,5,May,Instagram,Kalimantan Timur,"Salut dengan program MBG, distribusi di desa kami sudah lancar #GiziGratis #GiziAnak",Positif,32,5,3,#GiziGratis #GiziAnak,False,Micro (<1k)
TW-000105,2024-09-01,2024,9,September,Twitter/X,Jawa Tengah,Terima kasih pemerintah atas program makan bergizi gratis #ProgramPemerintah #BalitaSehat,Positif,48,36,0,#ProgramPemerintah #BalitaSehat,False,Small (1k-10k)
TW-000106,2024-08-01,2024,8,August,Twitter/X,Jawa Timur,Ada indikasi penyelewengan distribusi MBG di beberapa daerah #ProgramGizi,Negatif,13,18,0,#ProgramGizi,False,Micro (<1k)
TW-000107,2024-07-01,2024,7,July,Twitter/X,Kalimantan Barat,Bagaimana mekanisme pendaftaran MBG untuk wilayah terpencil? #MakanBergiziGratis #ProgramGizi,Netral,138,9,0,#MakanBergiziGratis #ProgramGizi,False,Micro (<1k)
TW-000108,2024-03-01,2024,3,March,Twitter/X,Bali,MBG adalah program pro-rakyat yang benar-benar dirasakan manfaatnya 💪 #MakanBergiziGratis #MBG #GiziAnak,Positif,8,3,7,#MakanBergiziGratis #MBG #GiziAnak,False,Micro (<1k)
TW-000109,2025-02-01,2025,2,February,Twitter/X,Lampung,Apa saja jenis makanan yang diberikan dalam program MBG? #GiziAnak,Netral,62,26,1,#GiziAnak,False,Small (1k-10k)
TW-000110,2025-06-01,2025,6,June,TikTok,Kalimantan Timur,Ada yang tahu syarat penerima manfaat MBG untuk balita? #BalitaSehat #ProgramGizi,Netral,107,16,1,#BalitaSehat #ProgramGizi,False,Micro (<1k)
TW-000111,2024-09-01,2024,9,September,Facebook,Jawa Tengah,Program MBG sudah mulai di provinsi saya bulan ini #GiziAnak,Netral,1,0,7,#GiziAnak,False,Large (>100k)
TW-000112,2025-01-01,2025,1,January,Twitter/X,Sumatera Utara,"Salut dengan program MBG, distribusi di desa kami sudah lancar #BalitaSehat",Positif,0,13,3,#BalitaSehat,False,Medium (10k-100k)
TW-000113,2024-12-01,2024,12,December,Instagram,Nusa Tenggara Barat,"Posyandu kami ramai berkat MBG, ibu-ibu antusias hadir #MakanBergiziGratis #MBG #AntiStunting",Positif,7,14,4,#MakanBergiziGratis #MBG #AntiStunting,False,Small (1k-10k)
TW-000114,2024-06-01,2024,6,June,Twitter/X,Papua,Anak stunting berkurang berkat program gizi gratis ini #MakanBergiziGratis #BalitaSehat #GiziAnak,Positif,161,25,11,#MakanBergiziGratis #BalitaSehat #GiziAnak,False,Small (1k-10k)
TW-000115,2025-03-01,2025,3,March,Instagram,Nusa Tenggara Timur,"Jangan hanya proyek, harus ada dampak nyata pengurangan stunting #AnakIndonesia #BalitaSehat #MakanBergiziGratis",Negatif,38,4,6,#AnakIndonesia #BalitaSehat #MakanBergiziGratis,True,Micro (<1k)
TW-000116,2024-01-01,2024,1,January,Instagram,Lampung,Terima kasih pemerintah atas program makan bergizi gratis #MBG,Positif,126,6,9,#MBG,False,Micro (<1k)
